location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Москва,11,20,3,87.02,32910964.0,2024,Новостройка,-1,-1,-1,-1,-1,"39,1 м²","34,3 м²","2,85 м",Даниловский,,Тульская
Москва,4,20,3,103.7,40291971.0,2024,Новостройка,-1,-1,Монолитно-кирпичный,-1,Без отделки,"35,2 м²","25,5 м²","3,2 м",Филевский парк,Береговой проезд,Фили
Москва,35,41,3,97.4,95000000.0,-1,Вторичка,-1,-1,-1,-1,-1,69 м²,"7,3 м²",-1,Хорошевский,Ленинградский проспект,Аэропорт
Москва,2,21,3,157.8,165216600.0,2023,Новостройка,-1,-1,Монолитный,-1,"Чистовая, чистовая с мебелью",-1,"46,2 м²",3 м,Пресненский, Костикова,Улица 1905 года
Москва,7,14,3,206.0,289997099.0,-1,Вторичка,-1,Подземная,-1,-1,-1,-1,-1,"3,2 м",Арбат,Малый Новопесковский переулок,Смоленская
Москва,5,43,3,84.79,37441144.0,2025,Новостройка,-1,Подземная,Монолитный,-1,"Предчистовая, чистовая","35,7 м²",-1,3 м,Савеловский,2-я Хуторская ,Дмитровская
Москва,4,8,3,70.0,66216004.0,1941,Вторичка,1 балкон,-1,-1,-1,-1,-1,8 м²,-1,Хамовники,Смоленский бульвар,Смоленская
Москва,8,59,3,56.1,,2028,Новостройка,-1,-1,Монолитно-кирпичный,-1,Предчистовая,"36,1 м²",-1,"2,85 м",Можайский,,Давыдково
Москва,13,21,3,130.0,155000000.0,-1,Вторичка,-1,-1,-1,-1,-1,-1,20 м²,-1,Пресненский, Костикова,Улица 1905 года
Москва,8,9,1,57.6,117936000,2023,Новостройка / Апартаменты,-1,Подземная,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,-1,-1,Тверской,1-я Тверская-Ямская ,Маяковская
Москва,9,40,1,41.5,32000000,-1,Вторичка,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",-1,Хорошевский,Ленинградский проспект,ЦСКА
Москва,11,12,1,33.5,8000000,1972,Вторичка,1 балкон,Наземная,-1,-1,-1,17 м²,7 м²,"2,5 м",Чертаново Южное,3-й Дорожный проезд,Улица Академика Янгеля
Москва,2,27,1,45.7,21798900,2026,Новостройка,-1,Подземная,Монолитно-кирпичный,-1,"Без отделки, чистовая","26,8 м²","7,8 м²","3,25 м",Басманный, Фридриха Энгельса,Бауманская
Москва,13,41,1,41.5,31000000,-1,Вторичка,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",-1,Хорошевский,Ленинградский проспект,Аэропорт
Москва,10,10,1,38.5,11280000,1994,Вторичка,1 лоджия,-1,-1,-1,-1,"20,7 м²","8,4 м²",-1,Выхино-Жулебино,Жулебинский бульвар,Лермонтовский проспект
Москва,5,21,1,65.9,82172522,2023,Новостройка,-1,-1,Монолитный,-1,"Чистовая, чистовая с мебелью","18,8 м²","24,9 м²",3 м,Пресненский, Костикова,Улица 1905 года
Москва,3,20,1,59.0,61800000,2023,Новостройка,-1,Подземная,-1,-1,-1,39 м²,15 м²,3 м,Пресненский, Костикова,Улица 1905 года
Москва,9,14,1,38.5,7000000,1993,Вторичка,1 балкон,Наземная,-1,-1,-1,18 м²,8 м²,"2,64 м",Крюково,Зеленоград,Зеленоград — Крюково
