location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,floor_ismissing,floors_count_ismissing,rooms_count_ismissing,total_meters_ismissing,price_ismissing,year_of_construction_ismissing,location_ismissing,object_type_ismissing,have_loggia_ismissing,parking_type_ismissing,house_material_type_ismissing,heating_type_ismissing,finish_type_ismissing,living_meters_ismissing,kitchen_meters_ismissing,ceiling_height_ismissing,district_ismissing,street_ismissing,underground_ismissing
Серпухов,6,6,2,56.8,4950000,2004,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,30 м²,10 м²,3 м,Серпухов, Карла Маркса,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,1,5,2,44.7,3900000,1968,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"30,7 м²","5,8 м²","2,7 м",Серпухов,Центральная ,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,True
Серпухов,1,4,2,41.0,3499888,1962,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,29 м²,6 м²,"2,7 м",Серпухов, Горького,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True
Серпухов,4,5,2,45.9,3850000,1969,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов,Весенняя ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True
Серпухов,4,9,2,52.0,7300000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,38 м²,9 м²,"2,7 м",Красный Текстильщик мкр, Красный Текстильщик,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
Серпухов,5,5,2,53.5,4999999,1973,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"28,9 м²",9 м²,"2,7 м",Серпухов, Энгельса,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True
Серпухов,1,5,2,46.0,4850000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,26 м²,6 м²,"2,5 м",Серпухов,Осенняя ,Щёлковская,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,2,10,1,59.0,11300000,2011,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"18,1 м²",20 м²,3 м,Серпухов,Советская ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,2,9,1,38.4,4600000,1984,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,15 м²,9 м²,"2,7 м",Серпухов,Комсомольская ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
Серпухов,4,6,1,38.9,4000000,2009,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,13 м²,"11,2 м²","2,8 м",Серпухов, Химиков,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,3,5,1,30.3,3500000,1972,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,6 м",Серпухов,Западная ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,5,5,1,33.0,3700000,2016,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,15 м²,6 м²,"2,7 м",Дубна, Правды,Щёлковская,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True
Дубна,2,5,1,31.2,4900000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,7 м²,"2,7 м",Дубна, Мичурина,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
Дубна,8,10,1,34.0,6000000,1970,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"18,2 м²","7,8 м²","2,6 м",Дубна, Строителей,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,5,9,1,50.0,9550000,2019,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,25 м²,10 м²,"2,7 м",Дубна, Программистов,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,1,5,1,30.0,4200000,1964,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,16 м²,6 м²,"2,4 м",Дубна, Правды,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,4,4,1,31.3,5750000,2016,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дубна, Курчатова,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,5,9,1,20.0,3700000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,9 м²,5 м²,"2,4 м",Дубна,Хлебозаводской переулок,Щёлковская,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,3,4,1,45.5,7100000,1956,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,10 м²,"2,7 м",Дубна,Октябрьская ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
Дубна,4,9,1,32.2,5210000,1978,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,15 м²,6 м²,"2,6 м",Дубна, Энтузиастов,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True
Дубна,9,14,1,39.0,8100000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,17 м²,8 м²,"2,7 м",Дубна, Мичурина,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
Дубна,5,9,1,29.0,5700000,2016,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,14 м²,8 м²,"2,5 м",Дубна,9 Мая ,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True
Дубна,1,9,1,20.3,3200000,1977,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"11,4 м²",4 м²,"2,4 м",Дубна,Хлебозаводской переулок,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,5,9,1,29.0,4500000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,5 м²,"2,4 м",Дубна,Хлебозаводской переулок,Щёлковская,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,3,9,1,38.8,6500000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,20 м²,8 м²,"2,7 м",Дубна, Понтекорво,Щёлковская,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True
Дубна,6,6,1,31.6,5800000,2003,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,"6,5 м²","2,5 м",Дубна,Первомайский проезд,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Дубна,3,4,1,32.3,5900000,1963,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дубна, В.И. Векслера,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True
Дубна,4,9,1,38.3,6100000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"19,3 м²","7,5 м²","2,7 м",Дубна, Энтузиастов,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
